tig50, qpua_pk50, sea, co
65.031258,444.119324,41.427120,0.019735
65.126785,443.755432,41.410248,0.019735
65.222160,443.392578,41.393597,0.019734
65.317383,443.030853,41.377178,0.019734
65.412430,442.670135,41.360954,0.019733
65.507324,442.310486,41.344948,0.019733
65.602066,441.951843,41.329144,0.019732
65.696655,441.594177,41.313545,0.019732
65.791115,441.237549,41.298141,0.019731
65.885422,440.881836,41.282932,0.019731
65.979591,440.527039,41.267918,0.019730
66.073616,440.173218,41.253082,0.019729
66.167511,439.820251,41.238434,0.019729
66.261276,439.468231,41.223969,0.019728
66.354912,439.117065,41.209671,0.019728
66.448410,438.766724,41.195560,0.019727
66.541801,438.417267,41.181602,0.019727
66.635063,438.068604,41.167812,0.019726
66.728203,437.720764,41.154194,0.019726
66.821236,437.373718,41.140736,0.019725
66.914154,437.027466,41.127434,0.019725
67.006966,436.681915,41.114292,0.019724
67.099670,436.337158,41.101295,0.019724
67.192268,435.993103,41.088455,0.019723
67.284760,435.649780,41.075752,0.019722
67.377159,435.307129,41.063198,0.019722
67.469460,434.965210,41.050789,0.019721
67.561668,434.623962,41.038513,0.019721
67.653778,434.283325,41.026371,0.019720
67.745804,433.943359,41.014374,0.019720
67.837746,433.604034,41.002506,0.019719
67.929604,433.265320,40.990765,0.019719
68.021362,432.927185,40.979149,0.019718
68.113075,432.589691,40.967663,0.019718
68.204681,432.252747,40.956303,0.019717
68.296234,431.916382,40.945057,0.019717
68.387711,431.580505,40.933926,0.019716
68.479111,431.245239,40.922924,0.019716
68.570450,430.910522,40.912033,0.019715
68.661713,430.576294,40.901253,0.019714
68.752922,430.242584,40.890587,0.019714
68.844063,429.909302,40.880032,0.019713
68.935150,429.576630,40.869583,0.019713
69.026169,429.244354,40.859234,0.019712
69.117134,428.912537,40.848999,0.019712
69.208054,428.581177,40.838860,0.019711
69.298920,428.250305,40.828827,0.019711
69.389725,427.919830,40.818890,0.019710
69.480484,427.589783,40.809048,0.019710
69.571205,427.260162,40.799309,0.019709
69.661896,426.930908,40.789658,0.019709
69.752518,426.602081,40.780109,0.019708
69.843109,426.273621,40.770641,0.019708
69.933662,425.945496,40.761269,0.019707
70.024178,425.617767,40.751984,0.019707
70.114639,425.290466,40.742790,0.019706
70.205093,424.963409,40.733681,0.019706
